Last name of the artist;First name of the artist;Sex of the artist (F/M/FM/empty);Membership in movement, if applicable;Biographical elements;Detailed address of the artist, as it appears in the catalogue;Country of the artist;State of the artist;City of the artist;Street number of the artist's address;Street name of the artist's address;Floor level of the artist's address;Local address of the artist;Additional information on the artist's address;Address as it appears in the catalogue;Country of the artist 2;State of the artist 2;City of the artist 2;Street number of the artist's address 2;Street name of the artist's address 2;Floor level of the artist's address 2;Local address of the artist 2;Additional information on the artist's address 2;Artist's nationality;Student of;Birth year;Month of birth;Day of birth;Detailed birth address of the artist, as it appears in the catalogue;Country of birth;State of birth;City of birth;Street number of the birth address;Street name of the birth address;Floor level of the birth address;Local address of birth;Additional information on the birth address;Year of death;Month of death;Day of death;Detailed death address of the artist, as it appears in the catalogue;Country of death;State of death;City of death;Street number of the death address;Street name of the death address;Floor level of the death address;Local address of death;Additional information on the death address;Notes;Number;Title of artwork;Subtitle;Translated title;Start year of creation;Start month of creation;Start day of creation;End year of creation;End month of creation;End day of creation;Country of creation;State of creation;City of creation;Dimensions;Categories;Medium;Room;Chapter of the catalogue ?;Price;Location/Owner;Owner's country;Owner's state;Owner's city;Notes;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;J'hérite de ça;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;Portrait;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13;Un photographe à Neufchatel Seine;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14;Un mendiant (Normandie;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18;Le dernier;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ALFRED LE PETIT, Achille-Alexandre; ; ; ;né à Aumale (Seine-et-Inférieure). -12, rue de Courcelles Levallois; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AMBROSELLI, Léon; ; ; ;né à Paris. 7, rue Chabanais; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;La plaine aux Gabillons;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AMBROSELLI, Léon; ; ; ;né à Paris. 7, rue Chabanais; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;21;Soir d'automne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AMBROSELLI, Léon; ; ; ;né à Paris. 7, rue Chabanais; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;22;Brue matinale;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AMBROSELLI, Léon; ; ; ;né à Paris. 7, rue Chabanais; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;L'ïle de la Ferme;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AMBROSELLI, Léon; ; ; ;né à Paris. 7, rue Chabanais; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24;Crépuscule;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AMBROSELLI, Léon; ; ; ;né à Paris. 7, rue Chabanais; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25;Matin de septembre;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;26;L'âtre;Crayon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;Le diner;Crayon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;Le berger;Crayon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29;Le chien;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;30;L'âne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;31;La neige;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANGRAND, Charles; ; ; ;45, boulevard des Batignolles Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;32;Le soir;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;33;Dos;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;34;Paysage;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;35;Portrait;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;36;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;37;Paysage;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;38;Rue (Soir;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;39;Torse;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;40;Rue;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;41;Portrait de Bernard;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ANQUETIN, Louis; ; ; ;62, rue de Rome; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42;Étude;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;43;Nuit étoilée;Paysage; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;44;Le soir;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45;Vue prise à Saint;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;46;Le hameau Raymond;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;47;Dernières lueurs;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;48;Le chemin Vauville;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49;Beau temps;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;50;Hameau de Fréval;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;51;La falaise à Fréport;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARGENCE (d'), Eugène; ; ; ;né à Paris. -21, Rue Saint Ferdinand; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;52;Le chemin de la mer;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARTHUS, Albert; ; ; ;né à Paris. -81, rue Taitbout; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;53;Arrivée sur rade à Algesiras (Espagne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARTHUS, Albert; ; ; ;né à Paris. -81, rue Taitbout; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;54;Etang de Naphte (Basse Russie). (Effet du matin;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
ARTHUS, Albert; ; ; ;né à Paris. -81, rue Taitbout; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;55;La malle de Barcelone en vue de Port Mahon. (Coucher de soleil, automne.);;;;;;;;;;;;;;;;;;;;;;;
AUTHIER (Mlle), Henriette; ; ; ;née à Moulins (Allier). - 7, rue de l'Oiseau, Moulins; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56;Un coin d'atelier (le jour du modèle vivant);; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
AUTHIER (Mlle), Henriette; ; ; ;née à Moulins (Allier). - 7, rue de l'Oiseau, Moulins; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;57;Calendrier de Flore, Avril;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;58;L'ami Colas chez lui;Appartient à M. L. G.); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;59;Les bords de l'Yerres, à Jarcy;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60;Au bord de l'eau;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;61;Les bords de l'Yerres;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;62;Souvenirs de voyage. Nieuwendom (environs d'Amsterdam;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;63;Dordrecht;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;64;Vue du fort Saint-Ange (Rome);; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;65;Environs de Rome. Vue du Tibre;Appartient à l'auteur; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BAHUET, Alfred-Louis; ; ; ;né à Paris. -61, rue Monsieur le; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;66;Vue du pont de Boussy;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BARABANDY, Richard; ; ; ;né à Milan (Italie). -34, boulevard de Clichy, Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;67;La Seine, au Point;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BARABANDY, Richard; ; ; ;né à Milan (Italie). -34, boulevard de Clichy, Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;68;Plaine, à Bouffemont (Seine;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
BARABANDY, Richard; ; ; ;né à Milan (Italie). -34, boulevard de Clichy, Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;69;La Sèvres, à Niort;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
